	diff_exp.Symbol	diff_exp.logFC	diff_exp.adj.P.Val
1	NA	-2.93805266911341	1.78963557756822e-14
2	NA	-2.85481694733139	1.78963557756822e-14
3	LOC728392	2.16811696198441	1.78963557756822e-14
4	TMEM106C	2.37474068619792	1.78963557756822e-14
5	CENPN	3.55808470222512	2.13647707211459e-14
6	DDIAS	3.15332389258648	2.54605168321063e-14
7	PDE6D	2.44784328273604	2.65365257129343e-14
8	ANG	-2.25247577905757	2.81921598905833e-14
9	IL11RA	2.78501897762537	3.68208414984635e-14
10	ASS1	-2.3228226810337	3.73790135593327e-14
11	NAV2	-3.41394520229383	6.42435444575872e-14
12	C4BPA	-2.31321774187251	6.49525156273543e-14
13	NA	2.29619691200842	6.49525156273543e-14
14	NEMP1	2.58088485717192	6.49525156273543e-14
15	PBX3	1.84258949770055	1.00236495996353e-13
16	ORM1	-2.97306226746514	1.05628787947347e-13
17	BLM	3.2818031413749	1.1940606168969e-13
18	NA	-3.35291524703769	1.20803854258712e-13
19	CHAC2	2.42312066635809	1.20803854258712e-13
20	SCPEP1	1.93734521112036	1.25596581805104e-13
21	NA	2.4967648144984	1.5586621990244e-13
22	LINC00261	-3.45516643757905	1.87196385076912e-13
23	NAGA	2.2284315094622	1.87196385076912e-13
24	CDKN1A	2.01986724455923	2.02545368470248e-13
25	BHMT	3.14191903244344	2.09719721425077e-13
26	CES1	2.34754733029774	2.09719721425077e-13
27	PLA2G15	1.69679663334539	2.11099838301879e-13
28	AJUBA	-2.09238198892454	2.15096556846882e-13
29	CTSV	2.72251879073344	2.15096556846882e-13
30	FIGNL1	3.38532573076756	2.15096556846882e-13
31	GINS3	2.45726881720838	2.17003520683518e-13
32	RNASE4	-2.09744704337349	2.17003520683518e-13
33	GK	-2.52086504608225	2.30037755980971e-13
34	GOLM1	2.84334780749273	2.30037755980971e-13
35	DNAJC12	-2.54597117804371	2.30037755980971e-13
36	NAGA	2.35841358042623	2.41280156893111e-13
37	NA	1.61908942787468	2.65847991986552e-13
38	MYO10	-3.2208593504191	2.66521543679634e-13
39	MCM10	3.97709049587853	2.66521543679634e-13
40	NEU1	2.11003190109319	2.66521543679634e-13
41	SLC17A2	-5.55968456366773	2.66521543679634e-13
42	C4BPB	-2.13716488810938	2.81873367862401e-13
43	CCNE2	3.95092777011792	2.81873367862401e-13
44	TIMP1	3.39629361608933	2.81873367862401e-13
45	DSCC1	3.12300028573845	2.81873367862401e-13
46	LOC100506100	3.1828557639268	2.81873367862401e-13
47	ZBED3	-2.0482851389159	3.05891387418858e-13
48	ADH6	-1.89064429284777	3.11045239813095e-13
49	CCDC15	2.7952480257502	3.1859487809107e-13
50	ZWILCH	2.71963541695257	3.1859487809107e-13
51	NAGA	2.125661193505	3.23028413524398e-13
52	POLQ	3.29959285785706	3.86203080514804e-13
53	SEMA4F	1.81851472124165	3.86203080514804e-13
54	CD47	2.28470870008075	3.96657629559606e-13
55	GPRC5B	2.70546447231069	4.23394891443771e-13
