	diff_exp.Symbol	diff_exp.logFC	diff_exp.adj.P.Val
1	NA	-3.11753281452334	2.26356409595699e-16
2	LOC728392	2.39819083048225	2.26356409595699e-16
3	NA	-3.01122073812589	3.34519690228789e-16
4	IL11RA	2.77503087853385	4.27405441197242e-15
5	PDE6D	2.35997142887473	4.27405441197242e-15
6	ORM1	-3.17280167185456	4.27405441197242e-15
7	TMEM106C	2.02665955573214	1.6522716375498e-14
8	CDKN1A	2.09794484733334	1.6522716375498e-14
9	APOH	-1.63028101830098	2.35098264920842e-14
10	SCPEP1	1.87193653299048	3.10609225699932e-14
11	ASS1	-2.03445408136534	3.28743418022208e-14
12	NAV2	-2.95790968587792	7.14926762419439e-14
13	PLA2G15	1.61257686380422	7.7119902885835e-14
14	ANG	-1.81503280116749	8.96035506589045e-14
15	TP53I3	1.55838316767591	9.04170826491213e-14
16	PBX3	1.59769641440016	1.12194524053032e-13
17	AJUBA	-1.91624122251452	1.37145538194774e-13
18	ZG16B	2.41015395161109	1.37145538194774e-13
19	TIMP1	3.20346614193796	1.37145538194774e-13
20	GOLM1	2.61379487660074	1.39225854898498e-13
21	NEU1	1.9655919833449	1.39225854898498e-13
22	FAM228B	2.36067580401453	1.47447075618931e-13
23	ASGR1	-1.98386000896799	1.47447075618931e-13
24	CES1	2.09590541730421	1.47447075618931e-13
25	ANGPTL8	-1.86282589206073	1.47661274341236e-13
26	C9orf16	1.57123611850387	1.52333750237002e-13
27	AJUBA	-2.16794769040477	1.63127181861369e-13
28	ASGR2	-1.57119774296274	2.00223884736514e-13
29	NA	1.82693143306194	2.14200164737447e-13
30	SLC17A9	-2.07566649968245	2.26764923562363e-13
31	SLC30A10	-3.60939528703449	2.56274056048597e-13
32	CENPN	2.52222945676251	2.7078541995177e-13
33	ADH6	-1.68717133644872	2.97031798191225e-13
34	SEMA4F	1.63961059997578	3.1354930658015e-13
35	LINC00261	-2.8875653565931	3.1354930658015e-13
36	ZBED3	-1.80826996162205	3.22120830223065e-13
37	C9orf16	1.67554831973594	3.22120830223065e-13
38	CD47	2.05256079522808	3.22120830223065e-13
39	DDIAS	2.22799367226774	3.30181081049498e-13
40	DNASE1L1	1.43383697218063	3.30181081049498e-13
41	BACE1	1.39014593331357	3.65258864240298e-13
42	KYNU	-2.38571150971011	3.74141850817844e-13
43	EEF1A1	-1.76257712393687	3.74141850817844e-13
44	RNASE4	-1.75029699395446	4.11377003721306e-13
45	KYNU	-2.1783703201345	4.11377003721306e-13
46	SMPD1	1.77829279883691	4.11377003721306e-13
47	CTSV	2.25761334158699	4.11377003721306e-13
48	PDE6D	1.8272642697648	4.16225362639068e-13
49	CBX5	2.08051794690603	4.19652574943145e-13
50	LOC101928076	2.11275417079962	4.19652574943145e-13
51	ZHX2	-2.13769988691042	4.73545816451401e-13
52	C4BPA	-1.72173432692246	4.73545816451401e-13
53	NR1H4	-3.58729497043864	4.95018815908945e-13
54	NR1H4	-3.66054483246515	4.96072150166884e-13
55	CEP85L	1.82628291024043	5.53638026523306e-13
56	IER5	1.42267546829385	5.55743213550751e-13
57	ART4	-2.22924123602465	5.95076352392944e-13
58	CFLAR	-1.37204388877363	6.09465894188081e-13
59	NEMP1	1.87649839124869	7.10432050790482e-13
60	RGN	-1.49068505522689	7.10432050790482e-13
61	HEXB	1.45619820686013	7.29518075361173e-13
62	NHSL1	-1.84321140815394	7.29518075361173e-13
63	FAM171B	3.01259059629474	7.47754465608318e-13
