Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit	Vehicle	Mechanisms
IMU10-1-6-R-1-1	RPTEC/TERT1	1	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	6	hour	DMSO
IMU10-1-6-R-2-1	RPTEC/TERT1	2	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	6	hour	DMSO
IMU10-1-6-R-3-1	RPTEC/TERT1	3	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	6	hour	DMSO
IMU10-1-24-R-1-1	RPTEC/TERT1	1	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	24	hour	DMSO
IMU10-1-24-R-2-1	RPTEC/TERT1	2	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	24	hour	DMSO
IMU10-1-24-R-3-1	RPTEC/TERT1	3	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	24	hour	DMSO
IMU10-1-72-R-1-1	RPTEC/TERT1	1	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	72	hour	DMSO
IMU10-1-72-R-2-1	RPTEC/TERT1	2	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	72	hour	DMSO
IMU10-1-72-R-3-1	RPTEC/TERT1	3	dimethyl sulfoxide	DMSO	TRUE		0.1	percent	72	hour	DMSO
IMU10-5-6-R-1-1	RPTEC/TERT1	1	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-6-R	60	micromolar	6	hour	DMSO
IMU10-5-6-R-3-1	RPTEC/TERT1	3	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-6-R	60	micromolar	6	hour	DMSO
IMU10-5-6-R-4-1	RPTEC/TERT1	4	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-6-R	60	micromolar	6	hour	DMSO
IMU10-5-24-R-1-1	RPTEC/TERT1	1	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-24-R	60	micromolar	24	hour	DMSO
IMU10-5-24-R-2-1	RPTEC/TERT1	2	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-24-R	60	micromolar	24	hour	DMSO
IMU10-5-24-R-3-1	RPTEC/TERT1	3	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-24-R	60	micromolar	24	hour	DMSO
IMU10-5-72-R-1-1	RPTEC/TERT1	1	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-72	60	micromolar	72	hour	DMSO
IMU10-5-72-R-2-1	RPTEC/TERT1	2	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-72	60	micromolar	72	hour	DMSO
IMU10-5-72-R-3-1	RPTEC/TERT1	3	S-(1,2-dichlorovinyl)-L-cysteine	Non-genotoxic	FALSE	IMU10-1-72	60	micromolar	72	hour	DMSO
