Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit	Vehicle	Mechanisms
UCD_03_1_6_W_1_1	RPTEC/TERT1	1	untreated	whole cell	TRUE		N/A	N/A	6	hour
UCD_03_1_6_W_2_1	RPTEC/TERT1	2	untreated	whole cell	TRUE		N/A	N/A	6	hour
UCD_03_1_6_W_3_1	RPTEC/TERT1	3	untreated	whole cell	TRUE		N/A	N/A	6	hour
UCD_03_1_24_W_1_1	RPTEC/TERT1	1	untreated	whole cell	TRUE		N/A	N/A	24	hour
UCD_03_1_24_W_2_1	RPTEC/TERT1	2	untreated	whole cell	TRUE		N/A	N/A	24	hour
UCD_03_1_24_W_3_1	RPTEC/TERT1	3	untreated	whole cell	TRUE		N/A	N/A	24	hour
UCD_03_1_72_W_1_1	RPTEC/TERT1	1	untreated	whole cell	TRUE		N/A	N/A	72	hour
UCD_03_1_72_W_2_1	RPTEC/TERT1	2	untreated	whole cell	TRUE		N/A	N/A	72	hour
UCD_03_1_72_W_3_1	RPTEC/TERT1	3	untreated	whole cell	TRUE		N/A	N/A	72	hour
UCD_03_4_6_W_1_1	RPTEC/TERT1	1	bromodichloromethane	whole cell	FALSE	UCD_03_1_6_W_1_1	200	micromolar	6	hour
UCD_03_4_6_W_2_1	RPTEC/TERT1	2	bromodichloromethane	whole cell	FALSE	UCD_03_1_6_W_2_1	200	micromolar	6	hour
UCD_03_4_6_W_3_1	RPTEC/TERT1	3	bromodichloromethane	whole cell	FALSE	UCD_03_1_6_W_3_1	200	micromolar	6	hour
UCD_03_4_24_W_1_1	RPTEC/TERT1	1	bromodichloromethane	whole cell	FALSE	UCD_03_1_24_W_1_1	200	micromolar	24	hour
UCD_03_4_24_W_2_1	RPTEC/TERT1	2	bromodichloromethane	whole cell	FALSE	UCD_03_1_24_W_2_1	200	micromolar	24	hour
UCD_03_4_24_W_3_1	RPTEC/TERT1	3	bromodichloromethane	whole cell	FALSE	UCD_03_1_24_W_3_1	200	micromolar	24	hour
UCD_03_4_72_W_1_1	RPTEC/TERT1	1	bromodichloromethane	whole cell	FALSE	UCD_03_1_72_W_1_1	200	micromolar	72	hour
UCD_03_4_72_W_2_1	RPTEC/TERT1	2	bromodichloromethane	whole cell	FALSE	UCD_03_1_72_W_2_1	200	micromolar	72	hour
UCD_03_4_72_W_3_1	RPTEC/TERT1	3	bromodichloromethane	whole cell	FALSE	UCD_03_1_72_W_3_1	200	micromolar	72	hour
