Subject ID	Biological Replicate	Compound	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
AK77	2	DMSO	TRUE		0.5	%	12	hour
AK105	3	DMSO	TRUE		0.5	%	12	hour
AK133	4	DMSO	TRUE		0.5	%	12	hour
AK84	2	DMSO	TRUE		0.5	%	24	hour
AK112	3	DMSO	TRUE		0.5	%	24	hour
AK140	4	DMSO	TRUE		0.5	%	24	hour
AK91	2	DMSO	TRUE		0.5	%	48	hour
AK119	3	DMSO	TRUE		0.5	%	48	hour
AK147	4	DMSO	TRUE		0.5	%	48	hour
AK98	2	DMSO	TRUE		0.5	%	72	hour
AK126	3	DMSO	TRUE		0.5	%	72	hour
AK154	4	DMSO	TRUE		0.5	%	72	hour
AK78	2	Acetaminophen	FALSE	AK77	10000	micromolar	12	hour
AK106	3	Acetaminophen	FALSE	AK105	10000	micromolar	12	hour
AK134	4	Acetaminophen	FALSE	AK133	10000	micromolar	12	hour
AK85	2	Acetaminophen	FALSE	AK84	10000	micromolar	24	hour
AK113	3	Acetaminophen	FALSE	AK112	10000	micromolar	24	hour
AK141	4	Acetaminophen	FALSE	AK140	10000	micromolar	24	hour
AK92	2	Acetaminophen	FALSE	AK91	10000	micromolar	48	hour
AK120	3	Acetaminophen	FALSE	AK119	10000	micromolar	48	hour
AK148	4	Acetaminophen	FALSE	AK147	10000	micromolar	48	hour
AK99	2	Acetaminophen	FALSE	AK98	10000	micromolar	72	hour
AK127	3	Acetaminophen	FALSE	AK126	10000	micromolar	72	hour
AK155	4	Acetaminophen	FALSE	AK154	10000	micromolar	72	hour
