Source Name	Strain	Biological Replicate	Compound	Compound Class	Control	Sample Match	Dose	Dose Unit	Dose Duration	Dose Duration Unit
HUL-H-DMO-24-R-1-2	HepG2	1	dimethyl sulfoxide	DMSO	TRUE				24	hour
HUL-H-DMO-24-R-2-2	HepG2	2	dimethyl sulfoxide	DMSO	TRUE				24	hour
HUL-H-DMO-24-R-3-2	HepG2	3	dimethyl sulfoxide	DMSO	TRUE				24	hour
HUL-H-DMO-72-R-1-2	HepG2	1	dimethyl sulfoxide	DMSO	TRUE				72	hour
HUL-H-DMO-72-R-2-2	HepG2	2	dimethyl sulfoxide	DMSO	TRUE				72	hour
HUL-H-DMO-72-R-3-2	HepG2	3	dimethyl sulfoxide	DMSO	TRUE				72	hour
HUL-H-SPB2-24-R-1-2	HepG2	1	phenobarbital sodium	Non-genotoxic	FALSE	HUL-H-DMO-24-R	780	micromolar	24	hour
HUL-H-SPB2-24-R-2-2	HepG2	2	phenobarbital sodium	Non-genotoxic	FALSE	HUL-H-DMO-24-R	780	micromolar	24	hour
HUL-H-SPB2-24-R-3-2	HepG2	3	phenobarbital sodium	Non-genotoxic	FALSE	HUL-H-DMO-24-R	780	micromolar	24	hour
HUL-H-SPB2-72-R-1-2	HepG2	1	phenobarbital sodium	Non-genotoxic	FALSE	HUL-H-DMO-72-R	780	micromolar	72	hour
HUL-H-SPB2-72-R-2-2	HepG2	2	phenobarbital sodium	Non-genotoxic	FALSE	HUL-H-DMO-72-R	780	micromolar	72	hour
HUL-H-SPB2-72-R-3-2	HepG2	3	phenobarbital sodium	Non-genotoxic	FALSE	HUL-H-DMO-72-R	780	micromolar	72	hour
